Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-656.4069	-760.0366	103.6296	0.15881	0.462701	0.100557	0.277932	3.84098	1.858389	0.67099	8.961251
6	-648.8578	-757.0451	108.1872	0.0863957	0.443984	0.358598	0.111022	2.433071	1.720262	0.8354155	1.240214
12	-646.7886	-751.1675	104.3789	0.321986	0.0294092	0.448551	0.200054	4.837471	2.060343	0.79196	4.739104
18	-649.4191	-752.8259	103.4068	0.276506	0.473208	0.0856698	0.164616	1.900194	1.283459	1.47848	13.79064
24	-656.2503	-764.0849	107.8346	0.0216219	0.680249	0.248095	0.0500341	1.659889	1.514858	1.182147	2.208317
30	-643.7471	-748.4701	104.723	0.0121689	0.620828	0.139629	0.227375	5.109192	1.909459	0.750103	4.137843
36	-657.669	-764.2908	106.6219	0.0123452	0.629822	0.111509	0.246324	1.595945	1.858589	0.7971913	4.487147
42	-662.0133	-767.4223	105.409	0.195172	0.78173	0.00425276	0.0188453	5.749416	2.029853	0.7789655	2.267938
48	-650.3048	-759.1604	108.8556	0.107914	0.865793	0.004841	0.021452	0.9825092	1.984064	0.5675084	1.711678
54	-657.6947	-764.9704	107.2756	0.103729	0.719754	0.0915929	0.084925	5.065704	2.057711	0.5053195	0.5802885
60	-655.5777	-761.9877	106.41	0.155338	0.585989	0.134222	0.124451	6.406788	2.190281	0.4327995	0.7623565
66	-649.9069	-758.5646	108.6577	0.136002	0.519497	0.0237762	0.320725	1.33841	1.927486	0.4678485	1.615607
72	-655.0069	-760.4695	105.4626	0.323575	0.626692	0.0286822	0.0210503	8.099588	2.155063	0.5086251	1.182556
78	-652.2469	-758.3339	106.087	0.527692	0.425251	0.00459116	0.0424664	1.998249	1.979419	0.7353018	4.789588
84	-659.7762	-760.6447	100.8685	0.055861	0.140308	0.713317	0.0905143	17.83089	1.694381	1.215212	4.844301
90	-652.4123	-754.6652	102.2529	0.0914507	0.5263	0.369344	0.0129054	3.318358	1.369446	1.501862	14.30839
96	-654.6578	-753.354	98.69624	0.0751043	0.478946	0.322536	0.123414	24.53953	1.12922	1.777583	7.391247
102	-646.1145	-752.7294	106.615	0.423004	0.062304	0.333622	0.18107	3.061859	1.500538	1.343462	2.30245
108	-646.5966	-752.6976	106.1009	0.49005	0.0813578	0.422887	0.00570514	2.008283	1.538518	1.030938	5.172024
114	-655.8991	-761.6749	105.7758	0.374882	0.0622376	0.549588	0.0132924	7.376278	1.468462	1.286868	1.158703
120	-651.3227	-758.792	107.4693	0.18166	0.538846	0.266319	0.0131752	3.600046	1.723745	0.7840592	1.29861
126	-644.9282	-754.8719	109.9438	0.0593648	0.662191	0.275961	0.00248296	0.8596819	1.734172	0.8433856	0.7797615
132	-648.5937	-752.4995	103.9058	0.221727	0.0571603	0.259406	0.461707	4.373072	2.008036	0.5543824	6.917566
138	-646.0228	-751.398	105.3752	0.0843096	0.165101	0.590291	0.160298	3.906696	2.149681	0.5380953	3.664321
144	-653.5958	-755.7651	102.1693	0.0226964	0.0220624	0.491888	0.463353	10.2126	2.183389	0.6219372	5.641843
150	-656.7512	-759.3621	102.6108	0.195827	0.0991592	0.302738	0.402276	6.304412	1.796107	1.253141	7.268237
156	-651.9259	-756.3139	104.3879	0.134169	0.253255	0.243502	0.369075	10.03742	1.950164	0.9897933	1.665715
162	-640.3902	-748.0575	107.6673	0.254014	0.259361	0.451967	0.0346579	1.401425	1.832769	0.6155261	3.058424
168	-656.8795	-763.8341	106.9546	0.0647681	0.10717	0.596206	0.231856	1.279645	2.307588	0.4789573	3.723766
174	-666.7176	-772.777	106.0593	0.0121064	0.70661	0.0622075	0.219076	7.427602	1.724526	1.077576	0.8428892
180	-657.7108	-766.1201	108.4093	0.174081	0.504464	0.100417	0.221039	2.266843	1.773684	0.6537552	1.194579
186	-651.045	-757.8684	106.8234	0.021584	0.168482	0.598948	0.210986	1.563137	1.836986	0.6537552	4.351436
192	-660.933	-764.7574	103.8244	0.413908	0.27791	0.0486396	0.259542	3.986222	2.172478	0.4562016	7.230347
198	-660.5124	-767.3626	106.8502	0.399909	0.39952	0.0225188	0.178052	3.986222	1.669767	0.9673255	1.662981
204	-651.8008	-758.2308	106.43	0.357934	0.286503	0.0201552	0.335407	5.703541	1.582068	0.9570935	1.376362
210	-651.2569	-755.4784	104.2215	0.289848	0.200707	0.233446	0.275999	3.791189	1.479525	1.292573	6.552847
